during training cycle 	, train error ,  test error ,   400
11   ,	3.432328,   1.489564
21   ,	3.466422,   1.552309
31   ,	3.421606,   1.463148
41   ,	3.114024,   1.332392
51   ,	3.288128,   2.019596
61   ,	3.236322,   1.498339
71   ,	3.205819,   1.24712
81   ,	3.13033,   1.256917
91   ,	3.095572,   1.168378
101   ,	3.182728,   1.476791
111   ,	3.112627,   1.421504
121   ,	3.12716,   1.51123
131   ,	3.305627,   1.460283
141   ,	3.012952,   1.450409
151   ,	3.428796,   1.46783
161   ,	3.028459,   1.60902
171   ,	3.059497,   1.558306
181   ,	3.599812,   1.692996
191   ,	3.27212,   1.642718
201   ,	3.125158,   1.543321
211   ,	3.133604,   1.480076
221   ,	3.179418,   1.797865
231   ,	3.128626,   1.581549
241   ,	3.105288,   1.552567
251   ,	2.936154,   1.585777
261   ,	3.102134,   1.654016
271   ,	2.948846,   1.562689
281   ,	3.207042,   1.668475
291   ,	3.11228,   1.760676
301   ,	3.029212,   1.693169
311   ,	3.178551,   1.651562
321   ,	3.166699,   1.536576
331   ,	3.095239,   1.788434
341   ,	3.173814,   1.584781
351   ,	3.126892,   1.517893
361   ,	2.969271,   1.563761
371   ,	3.071104,   1.902448
381   ,	3.13607,   1.674274
391   ,	3.095786,   1.63018
