during training cycle 	, train error ,  test error ,   500
11   ,	3.581501,   1.446701
21   ,	3.155632,   1.285525
31   ,	3.221131,   1.454605
41   ,	3.055035,   1.35283
51   ,	3.142839,   1.309649
61   ,	3.046901,   1.458209
71   ,	3.097884,   1.37582
81   ,	3.406336,   1.380105
91   ,	3.183503,   1.30627
101   ,	3.225987,   1.418628
111   ,	3.148767,   1.28015
121   ,	3.17864,   1.317292
131   ,	3.305929,   1.523403
141   ,	3.053001,   1.280097
151   ,	3.104562,   1.453337
161   ,	3.222524,   1.507829
171   ,	2.889479,   1.43034
181   ,	2.936472,   1.487737
191   ,	3.121327,   1.372977
201   ,	3.096928,   1.391178
211   ,	3.279006,   1.60001
221   ,	3.109547,   1.396687
231   ,	3.107329,   1.498867
241   ,	3.135621,   1.535463
251   ,	3.033981,   1.367723
261   ,	3.181589,   1.344585
271   ,	3.042969,   1.451604
281   ,	3.015361,   1.463765
291   ,	2.984906,   1.381323
301   ,	3.096575,   1.40324
311   ,	3.061086,   1.417898
321   ,	3.010921,   1.439957
331   ,	3.247209,   1.478132
341   ,	2.979114,   1.493048
351   ,	2.949864,   1.486281
361   ,	3.019474,   1.558525
371   ,	2.999323,   1.556425
381   ,	3.039249,   1.717493
391   ,	3.011448,   1.428594
401   ,	3.105895,   1.472408
411   ,	2.990752,   1.427211
421   ,	2.997522,   1.477557
431   ,	3.112234,   1.665115
441   ,	2.943043,   1.442254
451   ,	2.820073,   1.408135
461   ,	3.064604,   1.759545
471   ,	2.889699,   1.481862
481   ,	2.897371,   1.481955
491   ,	2.95352,   1.480314
